sunlit times,,
Start Time (UTCG),Stop Time (UTCG),Duration (sec)
24:32.1,24:55.0,22.887
48:37.6,49:00.4,22.816
24:31.3,24:54.1,22.802
48:30.9,48:53.6,22.734
24:30.5,24:53.2,22.723
48:24.2,48:46.9,22.653
24:29.8,24:52.4,22.642
48:17.7,48:40.3,22.573
24:29.2,24:51.7,22.563
48:11.3,48:33.8,22.494
24:28.6,24:51.1,22.484
48:04.9,48:27.4,22.416
24:28.1,24:50.5,22.406
47:58.7,48:21.0,22.339
24:27.6,24:49.9,22.33
47:52.5,48:14.8,22.263
24:27.2,24:49.4,22.254
47:46.4,48:08.6,22.188
24:26.8,24:49.0,22.178
47:40.4,48:02.6,22.113
24:26.5,24:48.6,22.104
47:34.5,47:56.6,22.04
24:26.2,24:48.2,22.027
47:28.6,47:50.6,21.967
24:25.9,24:47.9,21.957
47:22.8,47:44.7,21.895
24:25.7,24:47.6,21.885
47:17.1,47:38.9,21.824
24:25.5,24:47.3,21.814
47:11.4,47:33.2,21.753
24:25.3,24:47.0,21.743
47:05.8,47:27.5,21.683
24:25.1,24:46.8,21.673
47:00.2,47:21.8,21.614
24:24.9,24:46.5,21.603
46:54.7,47:16.2,21.546
24:24.7,24:46.3,21.534
46:49.2,47:10.7,21.478
24:24.6,24:46.1,21.466
46:43.7,47:05.1,21.411
24:24.4,24:45.8,21.396
46:38.3,46:59.7,21.344
24:24.3,24:45.6,21.33
46:32.9,46:54.2,21.278
24:24.1,24:45.4,21.268
46:27.6,46:48.8,21.213
24:24.0,24:45.2,21.202
46:22.3,46:43.4,21.149
24:23.8,24:45.0,21.136
46:17.0,46:38.1,21.085
24:23.7,24:44.8,21.072
46:11.8,46:32.8,21.021
24:23.5,24:44.5,21.007
46:06.6,46:27.5,20.958
24:23.4,24:44.3,20.947
46:01.4,46:22.3,20.896
24:23.2,24:44.1,20.884
45:56.2,46:17.0,20.834
24:23.0,24:43.8,20.821
45:51.0,46:11.8,20.773
24:22.8,24:43.5,20.76
45:45.9,46:06.6,20.713
24:22.5,24:43.2,20.698
45:40.7,46:01.4,20.652
24:22.3,24:42.9,20.638
45:35.6,45:56.2,20.593
24:22.0,24:42.6,20.577
45:30.4,45:50.9,20.533
24:21.7,24:42.2,20.517
45:25.2,45:45.7,20.474
24:21.3,24:41.7,20.458
45:20.1,45:40.5,20.416
24:20.9,24:41.3,20.398
45:14.9,45:35.2,20.358
24:20.4,24:40.8,20.34
45:09.7,45:30.0,20.3
24:19.9,24:40.2,20.284
45:04.5,45:24.7,20.242
24:19.4,24:39.6,20.224
44:59.3,45:19.5,20.185
24:18.7,24:38.9,20.167
44:54.0,45:14.2,20.129
24:18.1,24:38.2,20.112
44:48.8,45:08.9,20.073
24:17.4,24:37.4,20.054
44:43.5,45:03.5,20.017
24:16.6,24:36.6,19.998
44:38.2,44:58.2,19.962
24:15.7,24:35.6,19.943
44:32.9,44:52.8,19.908
24:14.8,24:34.7,19.889
44:27.6,44:47.4,19.854
24:13.8,24:33.6,19.835
44:22.2,44:42.0,19.801
24:12.6,24:32.4,19.782
44:16.7,44:36.5,19.748
24:11.4,24:31.2,19.729
